name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,EV / 2020 Revenue,EV / 2021 Revenue,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Run Rate,EV / NTM Revenue,EV / NTM Gross Profit Run Rate,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,EV / LTM Free Cash Flow,Enterprise Value,Effective Cash,Net Cash,Earnings Link
LiveRamp Holdings,RAMP,$29.03 ,12/31/19,"$1,956 ",28%,63%,-1%,27%,2.6x,2.0x,13%,,1999,1983,,49%,2.9x,3.4x,2.4x,11.6x,3.7x,112%,0.7,1.1,0.4,27,,904080,,,420,27%,26%,51%,$408 ,,,78%,35%,-41%,$459 ,$320 ,$353 ,32%,-297.1x,"$1,188 ",$767 ,$767 ,[object Object]
Yext,YEXT,$9.46 ,1/31/20,"$1,087 ",28%,74%,-14%,13%,2.4x,1.9x,9%,,2006,2017,0.7x,42%,2.6x,2.8x,2.1x,2.2x,2.8x,,0.3,0.3,0.2,50.5,,,,,235,17%,24%,70%,$325 ,,,84%,33%,-38%,$353 ,$255 ,$298 ,31%,-19.3x,$831 ,$256 ,$256 ,
Five9,FIVN,$74.87 ,12/31/19,"$4,611 ",28%,59%,9%,37%,11.8x,10.0x,10%,7%,2001,2014,,95%,12.2x,13.7x,9.9x,11.8x,16.8x,,0.8,1.4,0.5,25.1,,,,,351,13%,15%,28%,$369 ,,,90%,31%,3%,$381 ,$289 ,$328 ,28%,145.2x,"$4,500 ",$319 ,$110 ,
Medallia,MDLA,$17.48 ,1/31/20,"$2,243 ",27%,64%,-6%,21%,4.2x,3.5x,11%,,2000,2019,0.5x,41%,4.3x,4.7x,3.5x,4.0x,5.4x,,0.6,0.6,0.4,30.2,,,,,285,25%,21%,49%,$440 ,$344 ,27%,107%,26%,-30%,$450 ,$345 ,$402 ,28%,-79.1x,"$1,900 ",$343 ,$343 ,
Splunk,SPLK,$108.11 ,1/31/20,"$16,862 ",27%,84%,-16%,11%,6.7x,5.5x,-13%,,2003,2012,,62%,5.3x,7.1x,4.3x,6.4x,5.2x,,1.5,2.1,1.2,9.7,,,,,542,17%,13%,46%,"$3,164 ",,,77%,35%,-1%,"$2,508 ","$2,488 ","$2,358 ",31%,-43.2x,"$16,821 ","$1,755 ",$40 ,
Sprout Social,SPT,$13.10 ,12/31/19,$656 ,26%,68%,,,4.0x,3.0x,-17%,,,,,82%,4.6x,5.1x,3.8x,3.9x,5.5x,110%,0.5,0.6,0.4,32,31455.9,18969.7,1.7,4684,,32%,52%,76%,$112 ,$111 ,26%,46%,57%,-92%,$131 ,$89 ,$102 ,31%,,$521 ,$135 ,$135 ,[object Object]
Mimecast Limited,MIME,$32.35 ,12/31/19,"$2,022 ",26%,74%,9%,35%,3.9x,3.3x,2%,52%,2003,2015,,60%,4.4x,4.8x,3.6x,3.9x,4.8x,109%,0.6,0.7,0.4,27.1,,51456.3,,,254,19%,15%,39%,$440 ,,,85%,30%,1%,$489 ,$350 ,$404 ,26%,50.7x,"$1,927 ",$189 ,$95 ,[object Object]
Dynatrace,DT,$21.94 ,12/31/19,"$6,161 ",25%,80%,-33%,-8%,10.2x,8.2x,4%,,1999,2019,0.9x,61%,11.4x,12.7x,9.4x,10.2x,11.7x,120%,0.5,0.6,0.4,30.1,2161701.5,,,242074,,16%,15%,37%,$573 ,$535 ,44%,566%,4%,5%,$637 ,$458 ,$511 ,23%,-38.8x,"$6,512 ",$188 ,($352),[object Object]
Wix.com,WIX,$94.26 ,12/31/19,"$4,644 ",25%,73%,17%,41%,4.5x,3.7x,18%,26%,2006,2013,,61%,5.2x,5.6x,4.3x,4.5x,6.0x,,0.6,0.4,0.4,28.6,,,,,259,22%,12%,37%,$818 ,$685 ,19%,64%,39%,-9%,$947 ,$656 ,$761 ,26%,33.7x,"$4,278 ",$726 ,$366 ,
Workiva,WK,$31.02 ,12/31/19,"$1,455 ",25%,71%,9%,34%,3.7x,3.2x,2%,440%,2008,2014,,49%,3.9x,4.2x,3.2x,3.7x,4.5x,,0.7,0.7,0.5,22.8,,589107.1,,,211,29%,18%,42%,$321 ,,,135%,18%,-18%,$341 ,$257 ,$297 ,22%,46.2x,"$1,248 ",$487 ,$207 ,[object Object]
Survey Monkey,SVMK,$12.26 ,12/31/19,"$1,674 ",24%,76%,13%,37%,4.7x,4.0x,8%,43%,1999,2018,,56%,5.2x,5.7x,4.3x,4.6x,5.7x,,0.6,0.6,0.5,26.1,,,,,302,29%,26%,32%,$337 ,,,126%,19%,-23%,$378 ,$271 ,$307 ,21%,44.0x,"$1,758 ",$131 ,($85),
Workday,WDAY,$123.64 ,1/31/20,"$28,437 ",24%,71%,17%,41%,6.7x,5.6x,26%,53%,2005,2012,,55%,7.1x,7.7x,5.9x,6.4x,8.3x,,0.7,0.5,0.5,26,,,,,323,43%,11%,31%,"$3,905 ",,,67%,35%,-15%,"$4,161 ","$3,154 ","$3,627 ",29%,44.8x,"$27,755 ","$1,944 ",$682 ,
Instructure,INST,$49.00 ,9/30/19,"$1,875 ",24%,69%,0%,24%,5.8x,5.0x,117%,,2008,2015,3.1x,91%,6.4x,7.1x,5.3x,6.0x,7.7x,100%,0.5,0.7,0.3,35.1,,,,,191,32%,20%,47%,$273 ,,,85%,28%,-30%,$302 ,$220 ,$245 ,24%,1747.7x,"$1,748 ",$127 ,$127 ,[object Object]
Paylocity,PCTY,$81.04 ,12/31/19,"$4,344 ",23%,66%,15%,38%,6.8x,5.7x,14%,33%,1997,2014,,54%,7.9x,8.1x,6.6x,6.8x,10.1x,,0.8,0.6,0.5,23,,,,,183,12%,21%,28%,$529 ,$102 ,29%,95%,25%,5%,$617 ,$428 ,$519 ,24%,54.5x,"$4,199 ",$145 ,$145 ,[object Object]
New Relic,NEWR,$45.70 ,12/31/19,"$2,708 ",23%,83%,2%,25%,3.6x,3.2x,-22%,-72%,2007,2014,,42%,3.9x,4.2x,3.3x,3.6x,3.9x,109%,0.4,0.4,0.4,34.3,,,,,299,25%,16%,57%,$612 ,,,67%,35%,-16%,$661 ,$496 ,$571 ,28%,217.5x,"$2,393 ",$736 ,$315 ,[object Object]
Proofpoint,PFPT,$102.81 ,12/31/19,"$5,861 ",23%,74%,23%,46%,5.4x,4.5x,27%,34%,2002,2012,,78%,5.9x,6.4x,4.9x,5.4x,6.7x,,0.5,0.6,0.4,33.2,,,,,320,25%,12%,46%,$973 ,$961 ,23%,65%,35%,-9%,"$1,060 ",$793 ,$888 ,24%,27.6x,"$5,719 ",$890 ,$141 ,[object Object]
Autodesk,ADSK,$138.84 ,1/31/20,"$30,548 ",22%,91%,42%,64%,8.3x,6.9x,76%,,1982,1985,,66%,8.6x,9.4x,7.2x,7.9x,7.9x,,0.7,0.7,0.6,19.3,,,,,337,24%,12%,39%,"$3,597 ","$3,216 ",35%,,,,"$3,732 ","$2,949 ","$3,274 ",27%,22.6x,"$30,789 ","$1,843 ",($242),
Talend S.A.,TLND,$19.71 ,12/31/19,$607 ,20%,77%,-7%,13%,2.0x,1.6x,3%,,2005,2016,0.7x,38%,2.1x,2.3x,1.8x,2.0x,2.3x,113%,0.3,0.5,0.2,52.5,790852.2,,,108000,200,24%,15%,53%,$267 ,$243 ,23%,59%,34%,-15%,$277 ,$222 ,$247 ,21%,-33.0x,$561 ,$177 ,$46 ,
Adobe,ADBE,$305.60 ,2/29/20,"$147,337 ",19%,85%,37%,56%,11.4x,9.9x,40%,15%,1982,1986,,80%,11.9x,12.6x,10.3x,10.9x,12.0x,,0.6,0.5,0.5,22.9,,,,,520,28%,9%,17%,"$12,364 ","$5,820 ",24%,75%,25%,30%,"$12,973 ","$10,403 ","$11,661 ",22%,33.7x,"$147,279 ","$4,171 ",$58 ,
Dropbox,DBX,$18.29 ,12/31/19,"$7,661 ",19%,76%,24%,42%,3.4x,3.1x,36%,8%,2007,2018,0.6x,70%,3.6x,3.9x,3.1x,3.4x,4.1x,,0.6,0.7,0.5,24.4,,,,,394,40%,14%,24%,"$1,784 ","$1,820 ",19%,81%,23%,-1%,"$1,888 ","$1,503 ","$1,661 ",19%,16.6x,"$6,502 ","$1,159 ","$1,159 ",[object Object]
Bandwidth,BAND,$64.71 ,12/31/19,"$1,523 ",18%,47%,-12%,6%,4.9x,4.1x,-12%,,2000,2017,3.1x,73%,5.4x,5.8x,4.7x,4.9x,10.0x,113%,1.2,0.7,0.5,21.9,,,,,313,13%,24%,15%,$248 ,,,79%,23%,-6%,$273 ,$209 ,$232 ,14%,-47.8x,"$1,338 ",$185 ,$185 ,[object Object]
J2 Global,JCOM,$69.34 ,12/31/19,"$3,379 ",17%,84%,26%,43%,2.9x,2.7x,20%,2%,1995,1999,,67%,2.6x,3.1x,2.3x,2.9x,2.7x,,1,2.5,0.9,13.7,,,,,1792,4%,27%,26%,"$1,622 ",,,183%,9%,27%,"$1,481 ","$1,384 ","$1,372 ",14%,12.1x,"$4,252 ",$575 ,($873),
Domo,DOMO,$9.04 ,1/31/20,$252 ,17%,69%,-1%,16%,1.4x,1.2x,141%,,2010,2018,0.4x,23%,1.4x,1.5x,1.2x,1.3x,1.8x,,0.3,0.3,0.2,63.7,,,,,180,26%,12%,49%,$184 ,$158 ,24%,55%,31%,-59%,$188 ,$157 ,$173 ,22%,-127.1x,$254 ,$98 ,($3),
Appian Corporation,APPN,$33.90 ,12/31/19,"$2,288 ",17%,68%,,,7.2x,6.3x,-10%,,1999,2017,2.3x,54%,7.6x,8.0x,6.6x,7.2x,9.8x,,0.3,0.2,0.2,55.8,,,,,218,22%,17%,46%,$281 ,,,89%,19%,-17%,$297 ,$240 ,$266 ,18%,,"$2,128 ",$159 ,$159 ,[object Object]
Palo Alto Networks,PANW,$164.84 ,1/31/20,"$16,435 ",15%,71%,29%,43%,4.2x,3.5x,32%,-5%,2005,2012,,66%,4.5x,4.7x,4.0x,4.0x,5.6x,,0.5,0.5,0.4,34.3,,,,,432,23%,9%,46%,"$3,266 ",$986 ,-9%,49%,30%,-6%,"$3,523 ","$2,844 ","$3,121 ",20%,16.6x,"$14,763 ","$3,133 ","$1,672 ",[object Object]
Ping Identity,PING,$18.45 ,12/31/19,"$1,470 ",15%,77%,,,5.4x,4.6x,3%,,2016,2019,1.0x,64%,5.3x,6.0x,4.7x,5.4x,6.2x,115%,2.1,1.5,1.6,7.4,1452755.9,,,187362,279,18%,17%,35%,$272 ,$255 ,14%,-374%,-4%,0%,$269 ,$237 ,$242 ,20%,,"$1,453 ",$67 ,$16 ,[object Object]
Qualys,QLYS,$85.36 ,12/31/19,"$3,337 ",14%,80%,41%,56%,8.0x,6.9x,30%,30%,1999,2012,,91%,8.6x,9.1x,7.7x,8.0x,9.7x,,0.6,0.5,0.5,23.2,,,,,274,21%,13%,23%,$338 ,,,79%,18%,23%,$366 ,$296 ,$321 ,15%,21.9x,"$2,919 ",$418 ,$418 ,[object Object]
Ceridian HCM Holding,CDAY,$44.25 ,12/31/19,"$6,403 ",14%,44%,-1%,13%,7.5x,6.6x,4%,,,,,58%,7.7x,8.3x,6.9x,7.5x,15.6x,,2.2,2.2,1,12.4,,,,,,8%,35%,,$887 ,$115 ,6%,-54%,-26%,,$903 ,$779 ,$824 ,11%,-1359.8x,"$6,799 ",$281 ,($396),
Intuit,INTU,$224.10 ,1/31/20,"$58,376 ",13%,80%,32%,45%,7.4x,6.5x,17%,7%,1983,1993,,73%,8.3x,7.9x,7.5x,7.2x,9.3x,,,,,,,,,,585,20%,9%,35%,"$6,784 ","$2,180 ",2%,106%,12%,16%,"$7,611 ","$6,008 ","$7,127 ",13%,24.9x,"$56,148 ","$2,266 ","$2,228 ",[object Object]
RealPage,RP,$50.26 ,12/31/19,"$4,767 ",12%,56%,27%,39%,4.7x,4.2x,46%,-50%,1998,2010,,77%,5.4x,5.5x,4.9x,4.7x,8.7x,,0.9,,0.5,25.1,,,,,195,10%,14%,19%,"$1,019 ",,,58%,21%,9%,"$1,167 ",$907 ,$988 ,14%,20.6x,"$5,469 ",$197 ,($703),
GoDaddy,GDDY,$53.73 ,12/31/19,"$9,397 ",12%,65%,21%,33%,3.2x,2.9x,19%,35%,2014,2015,2.1x,66%,3.4x,3.6x,3.1x,3.2x,4.8x,,1,1,0.7,18.1,,457.5,,,436,16%,12%,11%,"$3,121 ",,,78%,16%,9%,"$3,297 ","$2,783 ","$2,988 ",12%,16.9x,"$10,706 ","$1,086 ","($1,309)",
Box,BOX,$14.60 ,1/31/20,"$2,185 ",12%,69%,-1%,11%,2.7x,2.6x,0%,,2005,2015,0.7x,70%,2.8x,2.9x,2.5x,2.7x,3.6x,,0.3,0.3,0.2,56,,,,,185,29%,15%,41%,$734 ,,,61%,20%,-16%,$744 ,$654 ,$696 ,14%,-253.6x,"$2,029 ",$195 ,$155 ,
SolarWinds,SWI,$15.90 ,12/31/19,"$1,141 ",12%,74%,,,0.9x,0.9x,31%,,1999,2018,1.0x,75%,1.0x,,0.9x,0.9x,1.2x,,1,0.4,0.8,16,,,,,407,11%,10%,28%,$989 ,$143 ,17%,103%,12%,16%,"$1,040 ",$884 ,,,,$988 ,$173 ,$153 ,[object Object]
Zuora,ZUO,$8.08 ,1/31/20,$915 ,11%,51%,-9%,2%,2.6x,2.2x,-6%,,2006,2018,0.4x,35%,2.7x,2.7x,2.4x,2.5x,4.8x,104%,0.3,,0.2,76.1,,,,,230,29%,18%,39%,$281 ,$218 ,22%,41%,27%,-35%,$294 ,$253 ,$276 ,17%,-29.0x,$753 ,$171 ,$161 ,
SailPoint Technologies,SAIL,$13.91 ,12/31/19,"$1,248 ",10%,80%,15%,25%,3.5x,3.1x,11%,48%,2004,2017,0.9x,49%,3.1x,3.9x,2.9x,3.5x,3.6x,,1.4,1.6,1.2,10.4,,259953.1,,109598,303,18%,13%,42%,$355 ,$161 ,36%,55%,19%,7%,$321 ,$322 ,$288 ,16%,25.9x,"$1,113 ",$443 ,$134 ,[object Object]
Eventbrite,EB,$6.21 ,12/31/19,$524 ,9%,59%,5%,14%,0.3x,0.2x,,,2008,2018,0.2x,25%,0.3x,0.3x,0.3x,0.3x,0.5x,,0.6,,0.4,31.9,,,,,259,20%,31%,32%,$330 ,,,42%,21%,-24%,$331 ,$303 ,$326 ,12%,6.9x,$103 ,$420 ,$420 ,
FireEye,FEYE,$9.87 ,12/31/19,"$2,196 ",8%,66%,2%,10%,2.3x,2.2x,14%,110%,2004,2013,,54%,2.3x,2.4x,2.2x,2.3x,3.3x,,0.3,0.4,0.2,55.8,,,,66704,295,29%,12%,40%,$940 ,$587 ,-18%,142%,6%,-15%,$933 ,$870 ,$889 ,7%,103.2x,"$2,167 ","$1,039 ",$28 ,
Blackbaud,BLKB,$52.27 ,12/31/19,"$2,569 ",8%,51%,14%,21%,3.2x,3.0x,19%,-17%,1981,2004,,54%,3.2x,3.3x,3.0x,3.2x,5.8x,,1,1.2,0.5,24.6,,,,3542,262,11%,12%,24%,$951 ,$159 ,12%,428%,2%,2%,$933 ,$884 ,$900 ,6%,24.2x,"$3,004 ",$31 ,($436),
Black Knight,BKI,$58.35 ,12/31/19,"$8,754 ",5%,,23%,28%,8.6x,8.1x,40%,-17%,2013,2015,,77%,8.6x,8.7x,8.2x,8.6x,,,,,,,,,,,406,,,,"$1,200 ",,,77%,7%,24%,"$1,201 ","$1,141 ","$1,177 ",6%,37.5x,"$10,283 ",$15 ,"($1,529)",
LogMein,LOGM,$82.99 ,12/31/19,"$4,033 ",4%,74%,26%,30%,3.1x,2.9x,21%,-13%,2003,2009,,96%,3.2x,3.3x,3.1x,3.1x,4.2x,,0.2,0.2,0.1,86.7,,,,,288,12%,13%,36%,"$1,290 ",,,33%,12%,1%,"$1,320 ","$1,240 ","$1,260 ",5%,12.6x,"$4,105 ",$128 ,($72),[object Object]
Check Point Software,CHKP,$99.47 ,12/31/19,"$15,456 ",3%,89%,54%,57%,6.8x,6.6x,44%,-3%,1993,1996,,76%,6.4x,7.0x,6.2x,6.8x,7.0x,,1,1.5,0.9,13.4,,,,,377,12%,5%,26%,"$2,175 ",$857 ,5%,89%,4%,46%,"$2,038 ","$2,102 ","$1,994 ",4%,12.9x,"$13,876 ","$1,579 ","$1,579 ",[object Object]
Nutanix,NTNX,$14.63 ,1/31/20,"$2,814 ",3%,78%,-17%,-13%,1.8x,1.4x,-21%,,2009,2016,0.6x,34%,1.8x,2.0x,1.7x,1.7x,2.2x,,0.2,0.4,0.2,65.3,,317215.2,,53778,230,40%,10%,88%,"$1,387 ",$854 ,-10%,20%,17%,-60%,"$1,402 ","$1,341 ","$1,249 ",1%,-11.7x,"$2,469 ",$819 ,$344 ,[object Object]
Guidewire Software,GWRE,$74.42 ,1/31/20,"$6,146 ",2%,52%,12%,14%,7.6x,5.7x,11%,-13%,2001,2012,,61%,7.8x,7.7x,7.7x,7.2x,14.8x,,3.7,2,1.9,6.3,,,,,299,9%,12%,22%,$693 ,,,74%,3%,-10%,$717 ,$677 ,$701 ,-4%,66.0x,"$5,414 ","$1,055 ",$731 ,[object Object]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,$52.27 ,,"$4,344 ",28%,73%,4%,37%,6.7x,5.5x,9%,18%,,,1.1x,63%,7.1x,7.7x,5.6x,6.7x,7.9x,115%,0.7,0.7,0.5,25.1,444483.7,51456.3,5.1,35585,288,22%,16%,42%,$608 ,$535 ,33%,84%,32%,-14%,$637 ,$423 ,$511 ,29%,23.4x,"$4,199 ",$443 ,$185 ,
,,$72.66 ,,"$11,331 ",30%,72%,7%,37%,8.0x,6.4x,11%,40%,,,2.1x,63%,8.7x,10.1x,6.7x,7.8x,9.5x,117%,0.9,1.1,0.6,26.4,653752.2,129484.3,-1.5,68089.2,329.5,23%,18%,41%,"$1,299 ",$795 ,38%,92%,34%,-12%,"$1,368 ","$1,039 ","$1,197 ",32%,83.7x,"$10,977 ",$780 ,$354 ,